code,name,canton,latitude,longitude
EBR,Emmenbrücke,Luzern,47.070602,8.282565
BU,Buchs SG,St. Gallen,47.168412,9.478636
JO,Jona,St. Gallen,47.230977,8.834617
ER,Erstfeld,Uri,46.820339,8.650454
AND,Andermatt,Uri,46.63689,8.593269
HE,Herisau,Appenzell Ausserrhoden,47.39017,9.276799
MAEN,Männedorf,Zürich,47.253424,8.692346
DOR,Dornach-Arlesheim,Basel-Landschaft,47.48862,7.611118
COP,Coppet,Vaud,46.317394,6.187827
GLB,Glattbrugg,Zürich,47.430827,8.558854
KUES,Küsnacht ZH,Zürich,47.319157,8.580637
FCK,Frick,Aargau,47.507349,8.013092
EIS,Einsiedeln,Schwyz,47.12858,8.744469
BIR,Birmensdorf ZH,Zürich,47.357431,8.437555
GS,Grenchen Süd,Solothurn,47.188775,7.398179
UZW,Uzwil,St. Gallen,47.436444,9.130991
SM,St-Maurice,Valais/Wallis,46.216369,7.002043
PAL,Palézieux,Vaud,46.542764,6.837875
ZAF,Zürich Affoltern,Zürich,47.420909,8.508582
CHI,Chiasso,Ticino,45.832168,9.031449
SAME,Samedan,Graubünden/Grigioni,46.53376,9.873629
NAEN,Nänikon-Greifensee,Zürich,47.369363,8.686413
OWT,Oberwinterthur,Zürich,47.507922,8.760389
RUEM,Rümlang,Zürich,47.454066,8.532767
ZWOL,Zürich Wollishofen,Zürich,47.34744,8.5336
EBG,Engelberg,Obwalden,46.81952,8.402639
DAV,Davos Platz,Graubünden/Grigioni,46.79147,9.820729
PAY,Payerne,Vaud,46.81965,6.939884
UET,Uetikon,Zürich,47.25903,8.678787
WE,Wettingen,Aargau,47.459638,8.316006
HB,Herzogenbuchsee,Bern/Berne,47.188086,7.700958
SAR,Sarnen,Obwalden,46.89459,8.247479
FRE,Frenkendorf-Füllinsdorf,Basel-Landschaft,47.50147,7.71911
GSAG,Emmenbrücke Gersag,Luzern,47.078314,8.27682
SCHW,Schwyz,Schwyz,47.026397,8.632151
KLO,Klosters,,,
BRU,Brunnen,Schwyz,46.999175,8.610067
MU,Muttenz,Basel-Landschaft,47.533591,7.647894
GLA,Gland,Vaud,46.419986,6.269139
GLZB,Glanzenberg,Zürich,47.398879,8.420441
HERL,Herrliberg-Feldmeilen,Zürich,47.281827,8.612733
GOE,Göschenen,Uri,46.665815,8.588808
FLA,Flawil,St. Gallen,47.415189,9.189785
BIB,Biberbrugg,Schwyz,47.15637,8.722699
HEBG,Heerbrugg,St. Gallen,47.410393,9.627248
MOE,Möhlin,Aargau,47.561858,7.833862
KLW,Killwangen-Spreitenbach,Aargau,47.433329,8.354213
MOU,Moutier,Bern/Berne,47.280673,7.381044
BRAG,Bad Ragaz,St. Gallen,47.01031,9.505224
AROS,Arosa,Graubünden/Grigioni,46.78329,9.679329
AW,Amriswil,Thurgau,47.55045,9.302227
ERLB,Erlenbach ZH,Zürich,47.305792,8.591522
SMG,St. Margrethen,St. Gallen,47.453216,9.638261
BON,Bonstetten-Wettswil,Zürich,47.325901,8.468196
HGW,Hergiswil,Nidwalden,46.98261,8.310169
MR,Meiringen,Bern/Berne,46.72732,8.184229
LA,Lachen,Schwyz,47.190068,8.852715
FL,Flüelen,Uri,46.90173,8.624302
KB,Koblenz,Aargau,47.600338,8.227049
HI,Hinwil,Zürich,47.300057,8.839719
COS,Cossonay-Penthalaz,Vaud,46.60601,6.523689
STR,Stein am Rhein,Schaffhausen,47.656111,8.855019
BY,Bussigny,Vaud,46.54759,6.551826
KIL,Kilchberg,Zürich,47.324432,8.548016
ROL,Rolle,Vaud,46.462746,6.336403
SIB,Siebnen-Wangen,Schwyz,47.182671,8.900713
ROM,Romont,Fribourg,46.693508,6.911811
RUES,Rüschlikon,Zürich,47.307132,8.555162
GL,Glarus,Glarus,47.039924,9.071566
DI,Dielsdorf,Zürich,47.482421,8.459443
ZWIP,Zürich Wipkingen,Zürich,47.393039,8.529382
KUE,Küssnacht am Rigi,Schwyz,47.083594,8.433517
ALL,Allaman,Vaud,46.475754,6.399697
WSEE,Winterthur Seen,Zürich,47.487435,8.766813
FET,Fehraltorf,Zürich,47.385123,8.750288
PORE,Pontresina,Graubünden/Grigioni,46.49065,9.896069
MRT,Murten/Morat,Fribourg,46.925347,7.115282
DIS,Disentis/Mustér,Graubünden/Grigioni,46.70497,8.855019
SCTA,Scuol-Tarasp,Graubünden/Grigioni,46.79377,10.286219
ALD,Luzern Allmend,,,
MI,Muri AG,Aargau,47.276666,8.33982
SGF,St. Gallen St. Fiden,St. Gallen,47.43454,9.393443
STS,Stein-Säckingen,Aargau,47.541608,7.948842
ILZ,Ilanz,Graubünden/Grigioni,46.77535,9.207439
PRMA,Prilly-Malley,Vaud,46.526692,6.602628
THS,Thusis,Graubünden/Grigioni,46.6982,9.440499
ZWG,Zwingen,Basel-Landschaft,47.433799,7.530462
LK,Leuk,Valais/Wallis,46.31158,7.644936
